Capability,TownBell demonstrates,Replay source,Direct Reconstructed Inferred etc,Likely algorithm,Accuracy confidence,Required raw fields,Age of Friends use,V1 V2 Future
Feudal click [feudal_click],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Feudal reached [feudal_reached],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Castle click [castle_click],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Castle reached [castle_reached],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Imperial click [imperial_click],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Imperial reached [imperial_reached],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Pop at feudal click [pop_at_feudal_click],Yes in supplied public JSON export,"Initial owned objects plus queue, deletion and age-click events",C without simulation,Project population from the initial snapshot and subsequent queue/cancellation evidence at the click timestamp,"Medium or lower; population-cap blocks, deaths and incomplete queues make exact live population simulation-dependent","initial object classes, queue deltas, cancellation evidence, deaths if simulated, age-click timestamp",Opening context and build-order analysis without confusing planned population with live population,V2
Pop at castle click [pop_at_castle_click],Yes in supplied public JSON export,"Initial owned objects plus queue, deletion and age-click events",C without simulation,Project population from the initial snapshot and subsequent queue/cancellation evidence at the click timestamp,"Medium or lower; population-cap blocks, deaths and incomplete queues make exact live population simulation-dependent","initial object classes, queue deltas, cancellation evidence, deaths if simulated, age-click timestamp",Opening context and build-order analysis without confusing planned population with live population,V2
Feudal efficiency delta [feudal_efficiency_delta],Yes in supplied public JSON export,"Command stream, queue commands and versioned time windows",C,"Apply a declared heuristic for continuity, deduplication, efficiency, opening classification or playstyle",Medium and definition-dependent; must retain evidence and model version,"timestamp, actor, action type, selected ids, entity ids, queue amounts, age intervals and map context","Execution fundamentals, stable playstyle models and per-match performance interpretation",V2 or Future
Loom time [loom_time],Yes in supplied public JSON export,RESEARCH commands; system age messages where available; external research-time and availability tables,A for clicks and system age events; B or C for projected completion,"Select research starts, normalize technologies, use direct age-reached messages first and otherwise project completion with declared assumptions",High for click time; high for direct age messages; medium or lower for other completion times,"timestamp, actor, technology id, producer ids, system chat subtype, civilization and patch data","Age and upgrade timing, strategic commitment, execution and military transition inputs",V1
Loom before feudal [loom_before_feudal],Yes in supplied public JSON export,Decoded replay command stream and versioned entity tables,B or C,Apply a documented aggregation or classification over canonical events,Definition-dependent; preserve evidence and calculation version,"timestamp, actor, action type, raw payload and normalized entity references","Reusable match, player and relationship analysis",V2
Opening strategy [opening_strategy],Yes in supplied public JSON export,"Command stream, queue commands and versioned time windows",C,"Apply a declared heuristic for continuity, deduplication, efficiency, opening classification or playstyle",Medium and definition-dependent; must retain evidence and model version,"timestamp, actor, action type, selected ids, entity ids, queue amounts, age intervals and map context","Execution fundamentals, stable playstyle models and per-match performance interpretation",V2 or Future
First military unit [first_military_unit],Yes in supplied public JSON export,DE_QUEUE or QUEUE commands plus external entity and cost tables,B with C where completion or attribution is implied,"Aggregate queue amounts by normalized unit, family, producer and time window; optionally price at pinned costs","High for queue intent; low to medium for actual trained units, producer allocation, live army or completion time","timestamp, actor, unit id, amount, selected producer ids, entity family, cost and train-time version","Military identity, production commitment, portrait inputs, economic growth and composition transitions",V1 queue truth; V2 derived identity
First barracks [first_barracks],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First range [first_range],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First stable [first_stable],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First mill [first_mill],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First lumber camp [first_lumber_camp],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First mining camp [first_mining_camp],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First dock [first_dock],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
First house [first_house],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
Houses before feudal [houses_before_feudal],Yes in supplied public JSON export,Decoded replay command stream and versioned entity tables,B or C,Apply a documented aggregation or classification over canonical events,Definition-dependent; preserve evidence and calculation version,"timestamp, actor, action type, raw payload and normalized entity references","Reusable match, player and relationship analysis",V2
First scout command [first_scout_command],Yes in supplied public JSON export,Decoded replay command stream and versioned entity tables,B or C,Apply a documented aggregation or classification over canonical events,Definition-dependent; preserve evidence and calculation version,"timestamp, actor, action type, raw payload and normalized entity references","Reusable match, player and relationship analysis",V2
First wall [first_wall],Yes in supplied public JSON export,Decoded replay command stream and versioned entity tables,B or C,Apply a documented aggregation or classification over canonical events,Definition-dependent; preserve evidence and calculation version,"timestamp, actor, action type, raw payload and normalized entity references","Reusable match, player and relationship analysis",V2
Wall tiles before castle [wall_tiles_before_castle],Yes in supplied public JSON export,Decoded replay command stream and versioned entity tables,B or C,Apply a documented aggregation or classification over canonical events,Definition-dependent; preserve evidence and calculation version,"timestamp, actor, action type, raw payload and normalized entity references","Reusable match, player and relationship analysis",V2
Second town center [second_town_center],Yes in supplied public JSON export,BUILD or WALL placement commands plus initial owned objects,A plus B,"Select and count placement commands by normalized building type, coordinates and age window","High for construction orders; completion, cancellation and survival require simulation or explicit later evidence","timestamp, actor, building id, builder ids, x and y, wall endpoints, initial owned structures","Expansion, infrastructure, production capacity, fortification and spatial presence",V1
